week_sort,value,type,Season,Age Group
Year 2 week 17,3.0,cases,2021/2022,0-5 months
Year 2 week 17,0.0,cases,2022/2023,0-5 months
Year 2 week 17,7.0,cases,2023/2024,0-5 months
Year 2 week 18,9.0,cases,2015/2016,0-5 months
Year 2 week 18,0.0,cases,2016/2017,0-5 months
Year 2 week 18,5.0,cases,2017/2018,0-5 months
Year 2 week 18,9.0,cases,2018/2019,0-5 months
Year 2 week 18,0.0,cases,2019/2020,0-5 months
Year 2 week 18,2.0,cases,2020/2021,0-5 months
Year 2 week 18,1.0,cases,2021/2022,0-5 months
Year 2 week 18,0.0,cases,2022/2023,0-5 months
Year 2 week 18,3.0,cases,2023/2024,0-5 months
Year 2 week 19,4.0,cases,2015/2016,0-5 months
Year 2 week 19,1.0,cases,2016/2017,0-5 months
Year 2 week 19,1.0,cases,2017/2018,0-5 months
Year 2 week 19,6.0,cases,2018/2019,0-5 months
Year 2 week 19,0.0,cases,2019/2020,0-5 months
Year 2 week 19,0.0,cases,2020/2021,0-5 months
Year 2 week 19,2.0,cases,2021/2022,0-5 months
Year 2 week 19,0.0,cases,2022/2023,0-5 months
Year 2 week 19,0.0,cases,2023/2024,0-5 months
Year 2 week 20,4.0,cases,2015/2016,0-5 months
Year 2 week 20,2.0,cases,2016/2017,0-5 months
Year 2 week 20,2.0,cases,2017/2018,0-5 months
Year 2 week 20,6.0,cases,2018/2019,0-5 months
Year 2 week 20,0.0,cases,2019/2020,0-5 months
Year 2 week 20,1.0,cases,2020/2021,0-5 months
Year 2 week 20,1.0,cases,2021/2022,0-5 months
Year 2 week 20,0.0,cases,2022/2023,0-5 months
Year 2 week 20,2.0,cases,2023/2024,0-5 months
Year 1 week 21,18.0,tested,2016/2017,0-5 months
Year 1 week 21,19.0,tested,2017/2018,0-5 months
Year 1 week 21,24.0,tested,2018/2019,0-5 months
Year 1 week 21,49.0,tested,2019/2020,0-5 months
Year 1 week 21,10.0,tested,2020/2021,0-5 months
Year 1 week 21,35.0,tested,2021/2022,0-5 months
Year 1 week 21,85.0,tested,2022/2023,0-5 months
Year 1 week 21,80.0,tested,2023/2024,0-5 months
Year 1 week 21,58.0,tested,2024/2025,0-5 months
Year 1 week 22,12.0,tested,2016/2017,0-5 months
Year 1 week 22,17.0,tested,2017/2018,0-5 months
