year,week,Age_group,Number_of_citizens,Number_of_confirmed_cases,Number_of_new_admissions,Confirmed_cases_per_100k_citizens,New_admissions_per_100k_citizens,country,country_code
2016,U24,00-01,471856,0,0,0,0,Denmark,DNK
2016,U24,02-06,1234564,0,0,0,0,Denmark,DNK
2016,U24,07-14,2150796,0,0,0,0,Denmark,DNK
2016,U24,15-44,8702496,2,2,52,52,Denmark,DNK
2016,U24,45-64,6055604,0,0,0,0,Denmark,DNK
2016,U24,65-74,2577468,2,2,72,72,Denmark,DNK
2016,U24,75-84,1299716,2,2,143,143,Denmark,DNK
2016,U24,85+,478364,0,0,0,0,Denmark,DNK
2016,U24,Alle,22970864,6,6,33,33,Denmark,DNK
2016,U25,00-01,471856,0,0,0,0,Denmark,DNK
2016,U25,02-06,1234564,0,0,0,0,Denmark,DNK
2016,U25,07-14,2150796,0,0,0,0,Denmark,DNK
2016,U25,15-44,8702496,0,0,0,0,Denmark,DNK
2016,U25,45-64,6055604,0,0,0,0,Denmark,DNK
2016,U25,65-74,2577468,0,0,0,0,Denmark,DNK
2016,U25,75-84,1299716,0,0,0,0,Denmark,DNK
2016,U25,85+,478364,0,0,0,0,Denmark,DNK
2016,U25,Alle,22970864,0,0,0,0,Denmark,DNK
2016,U26,00-01,471856,0,0,0,0,Denmark,DNK
2016,U26,02-06,1234564,0,0,0,0,Denmark,DNK
2016,U26,07-14,2150796,0,0,0,0,Denmark,DNK
2016,U26,15-44,8702496,1,1,5,5,Denmark,DNK
2016,U26,45-64,6055604,2,2,36,36,Denmark,DNK
2016,U26,65-74,2577468,0,0,0,0,Denmark,DNK
2016,U26,75-84,1299716,0,0,0,0,Denmark,DNK
2016,U26,85+,478364,0,0,0,0,Denmark,DNK
2016,U26,Alle,22970864,3,3,12,12,Denmark,DNK
2016,U27,00-01,474636,0,0,0,0,Denmark,DNK
2016,U27,02-06,1233140,0,0,0,0,Denmark,DNK
2016,U27,07-14,2149792,0,0,0,0,Denmark,DNK
2016,U27,15-44,8699224,0,0,0,0,Denmark,DNK
2016,U27,45-64,6057104,2,2,30,30,Denmark,DNK
2016,U27,65-74,2579980,0,0,0,0,Denmark,DNK
2016,U27,75-84,1303372,0,0,0,0,Denmark,DNK
2016,U27,85+,478744,0,0,0,0,Denmark,DNK
2016,U27,Alle,22975992,2,2,8,8,Denmark,DNK
2016,U28,00-01,474636,0,0,0,0,Denmark,DNK
2016,U28,02-06,1233140,0,0,0,0,Denmark,DNK
2016,U28,07-14,2149792,0,0,0,0,Denmark,DNK
2016,U28,15-44,8699224,4,2,58,41,Denmark,DNK
2016,U28,45-64,6057104,0,0,0,0,Denmark,DNK
2016,U28,65-74,2579980,0,0,0,0,Denmark,DNK
2016,U28,75-84,1303372,0,0,0,0,Denmark,DNK
2016,U28,85+,478744,0,0,0,0,Denmark,DNK
2016,U28,Alle,22975992,4,2,21,14,Denmark,DNK
2016,U29,00-01,474636,0,0,0,0,Denmark,DNK
2016,U29,02-06,1233140,0,0,0,0,Denmark,DNK
2016,U29,07-14,2149792,0,0,0,0,Denmark,DNK
2016,U29,15-44,8699224,3,3,29,29,Denmark,DNK
2016,U29,45-64,6057104,0,0,0,0,Denmark,DNK
2016,U29,65-74,2579980,0,0,0,0,Denmark,DNK
2016,U29,75-84,1303372,0,0,0,0,Denmark,DNK
2016,U29,85+,478744,0,0,0,0,Denmark,DNK
2016,U29,Alle,22975992,3,3,11,11,Denmark,DNK
2016,U30,00-01,474636,0,0,0,0,Denmark,DNK
2016,U30,02-06,1233140,0,0,0,0,Denmark,DNK
2016,U30,07-14,2149792,2,2,105,105,Denmark,DNK
2016,U30,15-44,8699224,0,0,0,0,Denmark,DNK
2016,U30,45-64,6057104,0,0,0,0,Denmark,DNK
2016,U30,65-74,2579980,0,0,0,0,Denmark,DNK
2016,U30,75-84,1303372,0,0,0,0,Denmark,DNK
2016,U30,85+,478744,0,0,0,0,Denmark,DNK
2016,U30,Alle,22975992,2,2,10,10,Denmark,DNK
2016,U31,00-01,475904,0,0,0,0,Denmark,DNK
2016,U31,02-06,1232808,0,0,0,0,Denmark,DNK
2016,U31,07-14,2151344,0,0,0,0,Denmark,DNK
2016,U31,15-44,8694504,4,4,36,36,Denmark,DNK
2016,U31,45-64,6065192,0,0,0,0,Denmark,DNK
2016,U31,65-74,2584188,3,3,102,102,Denmark,DNK
2016,U31,75-84,1308136,0,0,0,0,Denmark,DNK
2016,U31,85+,479568,0,0,0,0,Denmark,DNK
2016,U31,Alle,22991644,7,7,25,25,Denmark,DNK
2016,U32,00-01,475904,0,0,0,0,Denmark,DNK
2016,U32,02-06,1232808,0,0,0,0,Denmark,DNK
2016,U32,07-14,2151344,0,0,0,0,Denmark,DNK
2016,U32,15-44,8694504,4,2,43,25,Denmark,DNK
2016,U32,45-64,6065192,2,0,30,0,Denmark,DNK
2016,U32,65-74,2584188,2,2,86,86,Denmark,DNK
2016,U32,75-84,1308136,0,0,0,0,Denmark,DNK
