country,country_code,year,epiweek,month,age,type
Denmark,DNK,2021,51,12,0-5 months,cases
Denmark,DNK,2022,51,12,0-5 months,cases
Denmark,DNK,2023,51,12,0-5 months,cases
Denmark,DNK,2024,51,12,0-5 months,cases
Denmark,DNK,2015,52,12,0-5 months,cases
Denmark,DNK,2016,52,12,0-5 months,cases
Denmark,DNK,2017,52,12,0-5 months,cases
Denmark,DNK,2018,52,12,0-5 months,cases
Denmark,DNK,2019,52,12,0-5 months,cases
Denmark,DNK,2020,52,12,0-5 months,cases
Denmark,DNK,2021,52,12,0-5 months,cases
Denmark,DNK,2022,52,12,0-5 months,cases
Denmark,DNK,2023,52,12,0-5 months,cases
Denmark,DNK,2024,52,12,0-5 months,cases
Denmark,DNK,2015,53,12,0-5 months,cases
Denmark,DNK,2020,53,12,0-5 months,cases
Denmark,DNK,2016,1,01,0-5 months,cases
Denmark,DNK,2017,1,01,0-5 months,cases
Denmark,DNK,2018,1,01,0-5 months,cases
Denmark,DNK,2019,1,12,0-5 months,cases
Denmark,DNK,2020,1,12,0-5 months,cases
Denmark,DNK,2021,1,01,0-5 months,cases
Denmark,DNK,2022,1,01,0-5 months,cases
Denmark,DNK,2023,1,01,0-5 months,cases
Denmark,DNK,2024,1,01,0-5 months,cases
Denmark,DNK,2025,1,12,0-5 months,cases
Denmark,DNK,2016,2,01,0-5 months,cases
Denmark,DNK,2017,2,01,0-5 months,cases
Denmark,DNK,2018,2,01,0-5 months,cases
Denmark,DNK,2019,2,01,0-5 months,cases
Denmark,DNK,2020,2,01,0-5 months,cases
Denmark,DNK,2021,2,01,0-5 months,cases
Denmark,DNK,2022,2,01,0-5 months,cases
Denmark,DNK,2023,2,01,0-5 months,cases
Denmark,DNK,2024,2,01,0-5 months,cases
Denmark,DNK,2025,2,01,0-5 months,cases
Denmark,DNK,2016,3,01,0-5 months,cases
Denmark,DNK,2017,3,01,0-5 months,cases
Denmark,DNK,2018,3,01,0-5 months,cases
Denmark,DNK,2019,3,01,0-5 months,cases
Denmark,DNK,2020,3,01,0-5 months,cases
Denmark,DNK,2021,3,01,0-5 months,cases
Denmark,DNK,2022,3,01,0-5 months,cases
Denmark,DNK,2023,3,01,0-5 months,cases
Denmark,DNK,2024,3,01,0-5 months,cases
Denmark,DNK,2016,4,01,0-5 months,cases
Denmark,DNK,2017,4,01,0-5 months,cases
Denmark,DNK,2018,4,01,0-5 months,cases
Denmark,DNK,2019,4,01,0-5 months,cases
Denmark,DNK,2020,4,01,0-5 months,cases
Denmark,DNK,2021,4,01,0-5 months,cases
Denmark,DNK,2022,4,01,0-5 months,cases
Denmark,DNK,2023,4,01,0-5 months,cases
Denmark,DNK,2024,4,01,0-5 months,cases
Denmark,DNK,2016,5,02,0-5 months,cases
Denmark,DNK,2017,5,01,0-5 months,cases
Denmark,DNK,2018,5,01,0-5 months,cases
Denmark,DNK,2019,5,01,0-5 months,cases
Denmark,DNK,2020,5,01,0-5 months,cases
Denmark,DNK,2021,5,02,0-5 months,cases
Denmark,DNK,2022,5,01,0-5 months,cases
Denmark,DNK,2023,5,01,0-5 months,cases
Denmark,DNK,2024,5,01,0-5 months,cases
Denmark,DNK,2016,6,02,0-5 months,cases
Denmark,DNK,2017,6,02,0-5 months,cases
Denmark,DNK,2018,6,02,0-5 months,cases
Denmark,DNK,2019,6,02,0-5 months,cases
Denmark,DNK,2020,6,02,0-5 months,cases
Denmark,DNK,2021,6,02,0-5 months,cases
Denmark,DNK,2022,6,02,0-5 months,cases
Denmark,DNK,2023,6,02,0-5 months,cases
Denmark,DNK,2024,6,02,0-5 months,cases
Denmark,DNK,2016,7,02,0-5 months,cases
Denmark,DNK,2017,7,02,0-5 months,cases
Denmark,DNK,2018,7,02,0-5 months,cases
Denmark,DNK,2019,7,02,0-5 months,cases
Denmark,DNK,2020,7,02,0-5 months,cases
Denmark,DNK,2021,7,02,0-5 months,cases
Denmark,DNK,2022,7,02,0-5 months,cases
Denmark,DNK,2023,7,02,0-5 months,cases
Denmark,DNK,2024,7,02,0-5 months,cases
Denmark,DNK,2016,8,02,0-5 months,cases
Denmark,DNK,2017,8,02,0-5 months,cases
Denmark,DNK,2018,8,02,0-5 months,cases
Denmark,DNK,2019,8,02,0-5 months,cases
Denmark,DNK,2020,8,02,0-5 months,cases
Denmark,DNK,2021,8,02,0-5 months,cases
Denmark,DNK,2022,8,02,0-5 months,cases
Denmark,DNK,2023,8,02,0-5 months,cases
Denmark,DNK,2024,8,02,0-5 months,cases
Denmark,DNK,2016,9,02,0-5 months,cases
Denmark,DNK,2017,9,02,0-5 months,cases
Denmark,DNK,2018,9,02,0-5 months,cases
Denmark,DNK,2019,9,02,0-5 months,cases
Denmark,DNK,2020,9,02,0-5 months,cases
Denmark,DNK,2021,9,03,0-5 months,cases
Denmark,DNK,2022,9,02,0-5 months,cases
Denmark,DNK,2023,9,02,0-5 months,cases
Denmark,DNK,2024,9,02,0-5 months,cases
Denmark,DNK,2016,10,03,0-5 months,cases
Denmark,DNK,2017,10,03,0-5 months,cases
Denmark,DNK,2018,10,03,0-5 months,cases
Denmark,DNK,2019,10,03,0-5 months,cases
Denmark,DNK,2020,10,03,0-5 months,cases
Denmark,DNK,2021,10,03,0-5 months,cases
Denmark,DNK,2022,10,03,0-5 months,cases
