year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2023,W49,821,610,8,34,53,116,64.67,1.55,2.72,4.18,14.17,16.84
2023,W50,798,570,11,44,60,113,52.19,1.55,2.77,4.3,16.7,14.82
2023,W51,670,405,11,40,54,160,38.56,1.45,2.39,3.51,15.72,11.67
2023,W52,335,196,6,18,22,93,26.87,1.24,2.06,3.43,17.35,9.49
2024,W26,2,0,0,0,1,1,0,0,0.02,0.03,0.13,0.03
2024,W27,0,0,0,0,0,0,0,0,0,0.03,0.09,0.02
2024,W28,1,0,0,0,0,1,0.03,0,0.02,0,0.21,0.05
2024,W29,6,1,0,1,0,4,0.03,0,0.02,0,0.21,0.05
2024,W30,0,0,0,0,0,0,0.03,0,0.05,0,0.3,0.06
2024,W31,4,0,0,1,0,3,0,0,0.02,0,0.13,0.03
2024,W32,0,0,0,0,0,0,0.07,0,0.02,0,0.17,0.05
2024,W33,3,2,0,0,0,1,0.1,0,0,0,0.04,0.03
2024,W34,1,1,0,0,0,0,0.2,0,0,0,0.21,0.07
2024,W35,7,3,0,0,0,4,0.33,0,0,0,0.21,0.1
2024,W36,7,6,0,0,0,1,0.36,0,0,0.03,0.21,0.11
2024,W01,461,215,7,30,57,151,17.55,1.24,1.48,3.27,14.86,7.08
2024,W02,298,122,11,15,48,102,13.04,1.24,1.41,3.45,15.2,6.27
2024,W03,210,59,6,15,29,101,7.61,1.03,0.89,2.4,11.98,4.28
2024,W04,153,50,3,8,16,76,4.35,0.52,0.63,1.52,9.06,2.84
2024,W05,76,23,1,4,14,34,2.93,0.31,0.3,0.95,6.14,1.86
2024,W06,59,16,2,1,7,33,1.91,0.26,0.16,0.72,3.61,1.18
2024,W07,47,19,2,2,7,17,1.71,0.41,0.14,0.44,2.79,0.96
2024,W08,42,17,4,3,3,15,1.65,0.31,0.12,0.34,1.76,0.74
2024,W09,26,14,0,0,3,9,1.22,0.21,0.12,0.21,1.2,0.53
2024,W10,14,6,0,2,2,4,1.09,0,0.05,0.13,1.12,0.43
2024,W11,26,13,0,0,0,13,0.89,0,0.09,0.1,1.03,0.38
2024,W12,19,8,0,2,2,7,0.82,0,0.09,0.15,1.12,0.39
2024,W13,16,4,0,2,4,6,0.66,0,0.12,0.23,0.69,0.32
2024,W14,15,8,0,1,3,3,0.72,0.1,0.12,0.21,0.56,0.32
2024,W15,19,10,2,2,1,4,0.82,0.1,0.09,0.13,0.43,0.3
2024,W16,12,7,0,1,1,3,0.66,0.1,0.07,0.08,0.39,0.24
2024,W17,6,3,0,0,1,2,0.4,0,0.05,0.1,0.26,0.16
2024,W18,6,2,0,1,2,1,0.2,0.05,0.37,0.36,0.17,0.27
