year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2019,W08,698,314,40,120,120,103,27.99,6.51,8.79,10,20.87,14.41
2019,W09,498,114,33,95,96,160,18.08,4.91,6.12,6.49,13.7,9.56
2019,W10,281,121,22,46,36,56,9.62,3.57,4.1,4.2,11.08,6.2
2019,W11,178,57,14,34,31,42,8.1,2.48,2.98,2.4,5.88,4.21
2019,W47,67,17,7,10,14,19,4.28,1.76,1.22,1.26,3.39,2.23
2019,W12,192,68,12,47,26,39,6.98,2.17,2.41,2.09,6.18,3.77
2019,W48,235,98,23,34,26,54,8.43,3.41,2.11,2.32,7.3,4.35
2020,W31,0,0,0,0,0,0,0.03,0,0,0,0,0.01
2019,W13,212,87,16,22,24,63,6.29,1.86,2.09,1.73,5.93,3.37
2019,W49,370,141,36,46,50,97,17.35,6.82,3.94,4.28,14.94,8.69
2019,W14,117,36,8,20,17,36,5.86,1.81,1.36,1.93,6.96,3.29
2020,W32,0,0,0,0,0,0,0.03,0,0,0,0,0.01
2019,W50,737,288,73,88,90,197,28.32,10.24,5.84,6.37,23.92,13.67
2019,W51,1005,431,89,115,107,263,33.42,11.48,7.57,7.71,32.12,16.89
2019,W52,867,296,60,120,102,288,38,12.2,10.03,10.57,44.7,21.17
2020,W01,1398,427,87,193,201,490,40.11,13.54,13.03,13.51,63.85,26.21
2020,W02,1783,495,115,243,221,709,42.08,13.75,13.22,14.82,67.54,27.55
2020,W03,1075,356,64,128,153,374,31.45,10.08,9.63,10.59,49.89,20.29
2020,W04,276,104,16,40,37,79,18.57,5.69,5.25,6.03,22.16,10.68
2020,W05,299,104,30,56,44,63,10.41,4.34,3.63,2.68,8.63,5.59
2020,W06,288,108,38,59,23,59,13.07,5.01,4.52,2.84,8.85,6.51
2020,W07,419,185,29,78,43,84,13.86,5.22,4.31,2.35,8.72,6.48
2020,W08,294,128,34,47,25,60,14.26,5.17,4.55,2.55,8.16,6.58
2018,W13,285,92,13,51,40,89,6.92,2.27,3.47,4.43,12.88,5.66
2019,W15,179,55,11,16,34,63,3.85,1.24,1.38,1.55,5.84,2.56
2020,W43,0,0,0,0,0,0,0,0,0,0,0,0
2019,W16,100,26,5,23,9,37,3.49,0.93,1.2,1.57,5.58,2.37
2018,W14,276,49,14,37,58,117,5.8,1.91,2.81,3.79,12.54,5
2019,W17,87,25,2,12,18,30,2.21,0.57,1.03,1.01,3.82,1.62
2018,W15,212,35,10,32,49,86,3.62,1.4,2.13,3.53,11.98,4.18
2020,W44,0,0,0,0,0,0,0,0,0,0,0,0
2019,W18,63,16,4,9,12,22,1.55,0.47,0.66,0.93,2.79,1.2
2018,W16,157,26,3,22,30,76,2.21,0.83,1.64,2.32,7.6,2.72
2020,W33,1,1,0,0,0,0,0.03,0,0,0,0,0.01
2018,W17,51,6,3,16,11,15,1.51,0.47,1.01,1.42,4.77,1.71
2019,W19,35,6,3,7,6,13,1.02,0.52,0.47,0.7,2.45,0.94
2020,W45,0,0,0,0,0,0,0,0,0,0,0,0
2018,W18,56,14,3,5,14,20,0.95,0.47,0.7,0.67,1.63,0.85
2020,W34,0,0,0,0,0,0,0.03,0,0,0,0,0.01
2019,W20,47,9,3,4,9,22,0.82,0.62,0.7,0.52,2.19,0.89
2020,W46,0,0,0,0,0,0,0,0,0,0,0,0
2018,W19,25,9,3,9,1,3,1.32,0.41,0.35,0.62,1.55,0.8
2019,W21,56,10,6,19,5,16,0.69,0.57,0.59,0.44,2.45,0.85
2020,W35,0,0,0,0,0,0,0,0,0,0,0,0
2018,W20,42,17,2,1,9,13,1.02,0.31,0.26,0.26,0.77,0.49
2019,W22,28,2,2,2,3,19,0.49,0.47,0.56,0.26,1.76,0.64
2020,W47,0,0,0,0,0,0,0,0,0,0,0,0
2018,W21,9,5,1,1,0,2,0.86,0.16,0.07,0.28,0.77,0.39
2020,W36,0,0,0,0,0,0,0,0,0,0,0,0
2019,W23,15,3,1,3,2,6,0.23,0.16,0.16,0.15,1.12,0.32
2020,W48,0,0,0,0,0,0,0,0,0,0,0,0
2018,W22,10,4,0,1,2,3,0.3,0.05,0.05,0.05,0.3,0.14
2019,W24,6,2,0,2,1,1,0.3,0.05,0.12,0.13,0.47,0.2
2020,W37,0,0,0,0,0,0,0,0,0,0,0,0
2018,W23,2,0,0,0,0,2,0.13,0,0.05,0.05,0.3,0.1
2020,W49,0,0,0,0,0,0,0,0,0,0,0,0
2019,W25,10,4,0,0,2,4,0.3,0.1,0.09,0.08,0.34,0.17
2018,W24,3,0,0,1,0,2,0,0,0.02,0,0.17,0.03
2020,W38,0,0,0,0,0,0,0,0,0,0,0,0
2019,W26,10,3,2,2,0,3,0.43,0.1,0.07,0.05,0.3,0.17
2020,W50,0,0,0,0,0,0,0,0,0,0,0,0
2018,W25,0,0,0,0,0,0,0,0,0.02,0.03,0.09,0.03
2019,W27,7,6,0,1,0,0,0.46,0.1,0.14,0.05,0.21,0.19
2020,W39,0,0,0,0,0,0,0,0,0,0,0,0
2018,W26,1,0,0,0,1,0,0,0,0.02,0.03,0.04,0.02
2020,W51,0,0,0,0,0,0,0,0,0,0,0,0
2019,W28,12,5,0,3,2,2,0.53,0,0.09,0.05,0.09,0.16
2020,W40,0,0,0,0,0,0,0,0,0,0,0,0
2018,W27,2,0,0,1,0,1,0,0,0.02,0.03,0.09,0.03
2019,W29,5,5,0,0,0,0,0.49,0.05,0.12,0.13,0.09,0.18
2020,W52,0,0,0,0,0,0,0,0,0,0,0,0
2018,W28,1,0,0,0,0,1,0,0,0.02,0,0.13,0.03
2020,W41,0,0,0,0,0,0,0,0,0,0,0,0
2019,W30,11,5,1,2,3,0,0.4,0.21,0.05,0.08,0.04,0.14
2018,W29,1,0,0,0,0,1,0,0,0.02,0,0.13,0.03
2020,W53,0,0,0,0,0,0,0,0,0,0,0,0
2019,W31,6,2,3,0,0,1,0.26,0.26,0.07,0.13,0.04,0.14
2020,W42,0,0,0,0,0,0,0,0,0,0,0,0
2018,W30,2,0,0,1,0,1,0,0,0.02,0,0.09,0.02
2019,W32,5,1,1,1,2,0,0.1,0.41,0.02,0.08,0.04,0.1
2021,W01,0,0,0,0,0,0,0,0,0,0,0,0
2018,W31,0,0,0,0,0,0,0,0,0.02,0,0.09,0.02
